lemma,part_of_speech,translation,relations
maa'ishkam,class 2 animate intransitive verb,s/he shops,
adaawewigamig,inanimate noun,"a store, a shop, a trading post",
agamiing,locational adverb,at the lake; at the water; on the shore,"jiigewebide, jiigewebide, madaabiiwizh, madaabiiwidoon, madaabiiwizh, madaabiiwidoon"
dakoozi,animate intransitive verb,s/he is short Paired with:dakwaa,"dakwaa, dakoozi, dakwaabikizi, dakwaabikad, dakwegizi, dakwegad, dakwaakwad, dakwaakozi, dadaakooziwag, dakwaabiigizi, dakwaabiigad, dakwaabiigizhan, dakwaabiigizhwi, dakwaabiigizh, dakoonagizi, dakwaanawe"
manezin,animate intransitive verb with object,"s/he is in need of, is short of (it)","noondese, noondesatoon, noondesa'"
giishkigaade-giboodiyegwaazon,inanimate noun,(a pair of) shorts,
maana'e,animate intransitive verb,s/he takes a bad shot,
zhiishiibanwi,inanimate noun,birdshot,
,,,
zhiishiibanwii-baashkizigan,inanimate noun,a shotgun,
anwi,inanimate noun,"something shot as a missle, a bullet, a shot gun shell",
daa-,tense/mode preverb,"modal preverb of possibility, necessity, or obligation: can, could, should, would, might, must",
=dinimaangan-,dependent inanimate noun,STEM FOR: shoulder,"aawajinigaazh, aawajinigaadan, nindiniigan, indiniigan, babaaminigaazh, babaaminigaadan, biminigaazh, biminigaadan, animinigaazh, animinigaadan, onjinigaazh, onjinigaadan, biijinigaazh, biijinigaadan, izhinigaazh, izhinigaadan"
indiniigan,dependent inanimate noun,my shoulder blade (scapula) See also:n,"nindiniigan, indiniigan"
biibaagi,animate intransitive verb,"s/he calls out, shouts, yells","biibaagindan, biibaagim"
gaanjwebin,transitive animate verb,shove h/ (with hands) Paired with:an,"gaanjwebinan, gaanjwebin, gaanjiwebinan, gaanjweba'an, gaanjiweba'wi, gaanjweba', gaanjiweba'an, gaanjwebishkaw, gaanjwebishkan, gaanjiwebinan, gaanjwebinan, gaanjiwebin, gaanjwebinan, ikowebinan, ikowebin, ikoweba'an, ikoweba', ikowebishkan, ikowebishkaw, weba'an, weba', biindigewebishkaw, biindigewebishkan, gabaawebishkaw, gabaawebishkan, zaagijiwebishkaw, zaagijiwebishkan, ikowebinan, ikowebin, ikoweba'an, ikoweba', ikowebishkan, ikowebishkaw, gawiwebinan, gawiwebin, gaanjweba'an, gaanjiweba'wi, gaanjweba', gaanjiweba'an, gaanjwebishkaw, gaanjwebishkan"
gwaaba'aawangwaan,inanimate noun,"a shovel (for dirt), a spade",
mangaanibii,animate intransitive verb,s/he shovels something,"mangaanibaazh, mangaanibaadan"
waabanda'iwewin,inanimate noun,"a show, an exhibition",
waabanda',transitive animate verb,show (it) to h/,
naago',transitive animate verb,make h/ show; reveal h/ Paired with:naagotoon,"naagotoon, naago'"
giziibiigiiwigamig,inanimate noun,"a  washroom, a shower room",
odaapishkaa,inanimate intransitive verb,it shrinks Paired with:,"odaapishkaa, odaapishkaa, odaapizo, odaapide"
odaapizan,transitive inanimate verb,shrink it (by heat) Paired with:odaapiz,"odaapiz, odaapizan"
gaaskide,inanimate intransitive verb,"it dries out, shrivels Paired with:gaaskizo","gaaskizo, gaaskide, ojibwaakizo, ojibwaakide"
gibaakwa',transitive animate verb,"shut, block h/ (as or as with something stick- or wood-like)jail, imprison h/put h/ on lockdown or quarantine Paired with:an","gibaakwa'an, gibaakwa'"
gibaakwaasin,inanimate intransitive verb,it (something stick-like or of wood) is blown shut,"gibaakwaji, gibaakwadin, gibozigwaji, gibozigwadin, gibokiwasan, giboobizh, giboobidoon, gibaakobizh, gibaakobidoon, gibogwaazh, gibogwaadan, gibogwaazo, gibogwaade, giboogwaazh, giboogwaadan, gashkapizo, gashkapizh, gashkapidoon, gashkapide"
asabikaanaak,inanimate noun,a net shuttle See also:na,"asabikaanaak, asabikaanaak"
agaji,animate intransitive verb,"s/he is ashamed, is shy, is bashful",
mooshka'osi,animate noun,a bittern; a shypoke,ndawemaa
ndawemaa,dependent animate noun,my brother; my sibling of the opposite sex; my sister,
niinim,dependent animate noun,(if I am male) my sister-in-law; (if I am female) my brother-in-law,"owiinimoon, wiinimoon, owiitaan, wiitaan, nindaangwe, indaangwe, owiinimoon, wiinimoon"
aakozi,animate intransitive verb,"s/he is sick, is ill",
aakoziiwendaagozi,animate intransitive verb,s/he is thought sickly,
aakoziwin,inanimate noun,"a sickness, an illness, a disease",
bakebide,inanimate intransitive verb,"it drives off to the side; it speeds, drives, falls off to the side, off the main path Paired with:bakebizo","bakebizo, bakebide, bakebizo, bakebide"
opimese,animate intransitive verb,"s/he goes, falls on h/ side; it (animate) goes, falls on its side","opimesidoon, opimeshim, opimesin, opimeshin, eyiidawi-, eyiidawayi'ii, eyiidawaya'ii, opime-aya'ii"
agaamayi'ii,locational adverb,across it; on the other side of it,
niibideshinoog,animate intransitive verb,"they lie side by side in a row, are lined up Paired with:niibidesinoon","niibidesinoon, niibideshinoog"
zhaaboshkaachige,animate intransitive verb,s/he sifts things,
zhaaboshkaachigan,inanimate noun,a sifter,
naawinaagwad,inanimate intransitive verb,"it is barely visible, is visible in the distance Paired with:naawinaagozi","naawinaagozi, naawinaagwad, ani-naagwad, ani-naagozi, debaabandan, debaabam, debaabaminaagozi, debaabaminaagwad, nagazaabandan, nagazaabam, nagazinan, nagazinaw"
zhigweyaabi,animate intransitive verb,s/he aims sights,
agwaakwa'igan,inanimate noun,"a sign, a poster, a posted notice","gibichiiwagwaakwa'igan, gibichii-agwaakwa'igan"
daangigwanenan,transitive inanimate verb,sign it,
nandwewezige,animate intransitive verb,s/he signals by shooting,
name',transitive animate verb,find a sign of h/ presence,"namesin, nameshin"
zenibaanh,animate noun,a ribbon; silk,
gagiibaadizi,animate intransitive verb,"s/he is foolish, is silly, is naughty",gagiibaadizi
zhooniyaawaabik,inanimate noun,silver See also:zhooyaa,"zhooniyaa, zhooniyaawaabik"
ako-,relative preverb,a certain length; as far as; as long as; since,
#NAME?,dependent inanimate noun,someone's sinew,
nagamo,animate intransitive verb,s/he sings,
banzan,transitive inanimate verb,singe it Paired with:banzo,"banzo, banzan, banzo, bande"
nagamowin,inanimate noun,singing; a song,
gonzaabii',transitive animate verb,sink h/ (using something) Paired with:an,"gonzaabii'an, gonzaabii'"
gonzaabiishkoojigan,inanimate noun,"something used to hold things down in the water: an anchor, a trap weight, a sinker (fishing tackle)",
gwaabandan,transitive inanimate verb,"sip it, take a sip of it",
gwaabandan,transitive inanimate verb,"sip it, take a sip of it",
nimisenh,dependent animate noun,my older sister,
niinim,dependent animate noun,(if I am male) my sister-in-law; (if I am female) my brother-in-law,"owiinimoon, wiinimoon, nindaangwe, indaangwe"
namadabi,animate intransitive verb,s/he sits,"anzhikewabi, nazhikewabi, ate, apabaazh, apabaazh, apabaadan"
dagon,inanimate intransitive verb,it is in a certain place; it is situated in a certain place,
ingodwaaswi,number,six See also:n,"ningodwaaswi, ingodwaaswi, ningodwaaso-, ingodwaaso-, ingodwaachiwag, ningodwaachinoon, ningodwaachiwag, ingodwaachinoon, ingodwaachinoon, ningodwaachiwag, ningodwaachinoon, ingodwaachiwag, ningodwaaso-diba'igaans, ingodwaaso-diba'igaans, ningodwaasooshkin, ingodwaasooshkin, ningodwaasoonag, ingodwaasoonag, ningodwaasoonag, ingodwaasoonag, ningodwaasoonag, ingodwaasoonag, ningodwaaso-giizhik, ningodwaasogon, ningodwaasogonagad, ningodwaasogonagizi, ningodwaaswaabik, ingodwaaswaabik, ningodwaasozid, ingodwaasozid, ningodwaaso-diba'igan, ingodwaaso-diba'igan, ningodwaasoninj, ingodwaasoninj, ningodwaaso-diba'igan, ingodwaaso-diba'igan, ningodwaaso-diba'igaans, ingodwaaso-diba'igaans, ningodwaaso-giizis, ingodwaaso-giizis, ningodwaaso-dibik, ningodwaaso-diba'iganed, ingodwaaso-diba'iganed, ningodwaaswewaan, ingodwaaswewaan, ningodwaasweg, ingodwaasweg, ningodwaaso-dibaabiishkoojigan, ingodwaaso-dibaabiishkoojigan, ningodwaaswewaan, ingodwaaswewaan, ningodwaasosagoons, ingodwaasosagoons, ningodwaaching, ningodwaaso-anama'e-giizhigad, ningodwaaso-anama'e-giizhik, ingodwaaso-anama'e-giizhik, ningodwaaso-biboon, ningodwaaso-gikinoonowin, ningodwaaso-biboonagizi"
ingodwaasoobii'igan,animate noun,a six (card) See also:n,"ningodwaasoobii'igan, ingodwaasoobii'igan"
ingodwaaso-diba'iganed,inanimate intransitive verb,it is six o'clock See also:n,"ningodwaaso-diba'iganed, ingodwaaso-diba'iganed"
ashi-ingodwaaswi,number,and sixsixteen,ashi-ingodwaaswi
ingodwaasogonagizi,animate intransitive verb,s/he is six days old; s/he is the sixth day of the month See also:n,ningodwaasogonagizi
ingodwaasimidana,number,sixty See also:n,"ningodwaasimidana, ingodwaasimidana"
inigini,animate intransitive verb,"s/he or it (animate) is a certain size, is so big Paired with:inigokwaa","inigokwaa, inigini, inigokwaabikizi, inigokwaabikad, inigokwegizi, inigokwegad, inigokwaakozi, inigokwaakwad, inigokwaabiigizi, inigokwaabiigad"
zhooshkwaada'e,animate intransitive verb,s/he skates,
zhooshkwaada'aagan,inanimate noun,"a skate, an ice skate See also:na","zhooshkwaada'aagan, zhooshkwaada'aagan"
zhooshkwaagime,animate intransitive verb,s/he skis,
mitigwaagim,animate noun,a ski,
ozhaashibide,inanimate intransitive verb,"it speeds sliding or slipping, skids Paired with:","ozhaashibide, ozhaashibide"
nitaa-,lexical preverb,being good at; being skilled at; frequently do; know how to do something,
wawiingezi,animate intransitive verb,"s/he is skillful, does a good job, does something well",
wawiingechige,animate intransitive verb,"s/he does something skillfully, exactly; s/he makes things skilfully, exactly","wawiingetoon, wawiinge'"
bima'an,transitive inanimate verb,skim it,
bakon,transitive animate verb,skin it (animate) Paired with:an,"bakonan, bakon, gijiigibidoon"
bineshiinhwayaan,animate noun,a bird skin,
ozhaga'e,dependent animate noun,h/ skin,
bakonige-mookomaan,inanimate noun,a skinng kfe See also:bakogewi-mookomaan,"bakonigewi-mookomaan, bakonige-mookomaan"
bakaakadozo,animate intransitive verb,"(of a person) s/he is thin, is skinny",
giishkijii-magoodaas,inanimate noun,a skirt,
nishtigwaanigegan,dependent inanimate noun,my skull,
zhigaag,animate noun,a skunk,"boogijizh, boogijidan"
giizhig,animate noun,day; heaven; sky,"ishpimiing, agoode"
neshangaa,inanimate intransitive verb,"it is limber, is slack Paired with:neshangizi","neshangizi, neshangaa, neshangaabiigizi, neshangaabiigad, neshangishin, neshangisin"
gibaakowebinan,transitive inanimate verb,slam it shut (as something stick- or wood-like; e.g. a door),
basiingwe',transitive animate verb,slap h/ on the face,
niiwana',transitive animate verb,"slaughter h/, beat h/ to death",
awakaan,animate noun,"a domestic animal, a peta captive, a slave",
odaabaan,animate noun,"something pulled or dragged as a means of conveyance: a sled, a sleigh, a wago car, an automobile, a vehicle See also:ni",odaabaan
aapidingwaami,animate intransitive verb,"s/he sleeps and doesn't wake up, dies in h/ sleep See also:aapidingwaam","aapidingwaam, boogidingwaamo, boogidingwaam, madwengwaami, madwengwaamo, madwengwaami"
nibaa,animate intransitive verb,"s/he sleeps, is asleep","onzaamingwaamo, ozisin, aapidingwaam, boozaangwaami, boozaangwaam, daningwaami, daningwaam, daningwaam, namadabingwaamo, minongwaami, wiipendan, wiipem"
giikiibingwashi,animate intransitive verb,s/he is sleepy,
ninagway,dependent inanimate noun,my sleeve,
odaabaan,animate noun,"something pulled or dragged as a means of conveyance: a sled, a sleigh, a wago car, an automobile, a vehicle See also:ni",odaabaan
zhinawa'oojigan,inanimate noun,"a small round bell, a dance bell, a sleigh bell",
inikodan,transitive inanimate verb,slice it a certain way Paired with:inikozh,"inikozh, inikodan, apiitadezh, apiitadezhan, gipagikozh, gipagikodan, bibagikozh, bibagikodan"
ozhaashaa,inanimate intransitive verb,"it is slippery, is slick Paired with:ozhaashizi","ozhaashizi, ozhaashaa"
ozhaashise,animate intransitive verb,"s/he slips, slides Paired with:","ozhaashise, ozhaashise"
zhooshkobide,inanimate intransitive verb,"it slides, slips, skids Paired with:zhooshkobizo","zhooshkobizo, zhooshkobide, zhooshkonan, zhooshkon, zhooshkonan, zhooshkon"
basitebijigan,inanimate noun,a slingshot See also:basitegan,"basitenigan, basitebijigan, basitebijigan"
biitoomagooday,inanimate noun,a slip See also:biitoomagoodaas,"biitoomagoodaas, biitoomagooday"
ozhaashise,animate intransitive verb,"s/he slips, slides Paired with:","ozhaashise, ozhaashise, ozhaashibide, ozhaashibide"
ozhaashaa,inanimate intransitive verb,"it is slippery, is slick Paired with:ozhaashizi","ozhaashizi, ozhaashaa, ozhaashiigizi, ozhaashiigad, ozhaashaabikizi, ozhaashaabikad, ozhaashaakwad, ozhaashaakozi"
ozhaashigob,animate noun,a slippery elm,gigaatigwaan
gigaatigwaan,inanimate noun,a sliver (in h/ body),
ziigwebinakik,animate noun,a slop pail; a garbage pail,
bekaa,manner adverb,hold on!; slow down!; wait!,
bedaajiwanzwaanakik,animate noun,"a crock-pot, a slow cooker",
bejibide,inanimate intransitive verb,"it runs (as a machine), operates, drives slowly Paired with:bejibizo","bejibizo, bejibide, bejigin, bejigi, bejibizo"
agaasaa,inanimate intransitive verb,it is small Paired with:agaashiinyi See also:agaasin,"agaashiinyi, agaasin, agaasaa, agaashiinyi, agaasaa, agaasiminagizi, agaasiminagad, agaasaabikizi, agaasaabikad, agaasiigizi, agaasiigad, agaasaakwad, agaasaakozi, agaasaabiigizi, agaasaabiigad, baasiga'an, baasiga', biisada', biisada'an, agaasinaagozi, agaasinaagwad, agaasi', agaasaatoon, agaasi'"
nizhiigan,dependent inanimate noun,"the small of my back; (the upper part of) my rump, rear end",
=zhiigan-,dependent inanimate noun,"STEM OF: the small of someone's back; (the upper part of) someone's rump, rear end; an animal's croup (top of rump)",
noosa'owesi,animate noun,a smallmouth bass,
mamakiziwin,inanimate noun,smallpox,
gikendaaso,animate intransitive verb,"s/he is knows, is smart, is intelligent, is educated",
biigoshim,transitive animate verb,break h/ (by dropping); smash h/ Paired with:biigosidoon,"biigosidoon, biigoshim"
biijimaagozi,animate intransitive verb,s/he gives off a smell Paired with:biijimaagwad,"biijimaagwad, biijimaagozi, biijimaate, biijimaaso, minomaagozi, minomaagwad, minomaandan, minomaam, baashkimaagwad, baashkimaagozi, gojimaandan, gojimaam, nagajimaam, nagajimaandan"
izhimaagozi,animate intransitive verb,s/he smells a certain way Paired with:izhimaagwad,"izhimaagwad, izhimaagozi, izhimaandan, izhimaam, izhimaate, izhimaaso, aakomaagozi, aakomaagwad, aakomaandan, aakomaam, aakomaaso, aakomaate, maazhimaagwad, maazhimaagozi, maazhimaandan, maazhimaam, maazhimaate, maazhimaaso, wiisagimaagwad, wiisagimaagozi, biinimaagwad, biinimaagozi, bakaanimaagwad, bakaanimaagozi, wiinimaagwad, wiinimaagozi, minomaagwad, minomaagozi, minomaandan, minomaam, minomaagotoon, minomaago', minomaate, minomaaso, zhaagomaagozi, zhaagomaagwad, zhaagomaaso, agwaagomaagwad, agwaagomaagozi, zaatemaagwad, zaatemaagozi, zaatemaandan, zaatemaam, agwaagomaagwad, agwaagomaagozi, mayagimaagwad, mayagimaagozi, mashkawimaagwad, mashkawimaagozi, mashkawimaate, mashkawimaaso, gagwaanisagimaagwad, gagwaanisagimaagozi"
biijimaam,transitive animate verb,smell h/ Paired with:biijimaandan,"biijimaandan, biijimaam, nandomaandan, nandomaam, andomaandan"
zhoomiingweni,animate intransitive verb,s/he smiles,
makadewaabate,inanimate intransitive verb,it emits black smoke,"gibwanaamozo, inaabate, gibwanaamode"
giikanaabasan,transitive inanimate verb,smoke it (for preservation) Paired with:giikanaabas,"giikanaabas, giikanaabasan, giikanaabaso, ozaawegizan, ozaawegiz, gaaskizan, gaaskiz, gaaskaabasigan"
zagaswe',transitive animate verb,"give a smoke to h/, share a smoke with h/ (especially a pipe in a ceremony)invite h/ to a council",
zagaswaa,animate intransitive verb,s/he smokes (tobacco),"zagaswaazh, zagaswaadan"
bakwene,inanimate intransitive verb,"it smokes, is smoky or dusty",
gibwanaamoz,transitive animate verb,smoke h/ out,
agwaawaanaak,inanimate noun,a smoking or drying rack for meat or fish; a meat rack; a smokehouse,
bakwene,inanimate intransitive verb,"it smokes, is smoky or dusty",
zhooshkozi,animate intransitive verb,it (animate) is smooth Paired with:zhooshkwaa,"zhooshkwaa, zhooshkozi, zhooshkwaabikizi, zhooshkwaabikad, zhooshkwegizi, zhooshkwegad, zhooshkwaakwad, zhooshkwaakozi"
abaabas,transitive animate verb,"smudge, cense h/; smoke h/ (for preservation) Paired with:an","abaabasan, abaabas, nookwezan, nookwez"
zagaakwajin,animate intransitive verb,s/he gets snagged on a limb,
biimiskodisii,animate noun,a sil,
ginebig,animate noun,a ske,
ginebigwayaan,animate noun,a skeskin,
bakibidoon,class 2 transitive inanimate verb,break or snap it (string-like) (with hands) Paired with:bakibizh,"bakibizh, bakibidoon, bakishkaw, bakishkan"
mikinaak,animate noun,a spping turtle,
mikinaakwaawan,inanimate noun,a snapping turtle egg,
mikinaakwemikwaan,animate noun,a spping turtle shell,
agoodwaagan,inanimate noun,a snare,"agoodamaw, agoodamaw"
nagwaazh,transitive animate verb,snare h/ Paired with:nagwaadan,"nagwaadan, naabigwa'oojigan"
agoodwaaganeyaab,inanimate noun,"snare wire, snare",
giimoozikaw,transitive animate verb,sneak up on h/,"giimikan, giimikaw"
jaachaamo,animate intransitive verb,s/he sneezes,
andomaam,transitive animate verb,sniff for h/; smell for h/ Paired with:andomaandan,"andomaandan, andomaam, nandomaandan, nandomaandan, nandomaam, andomaandan, gojimaandan, gojimaam, gagwejimaam, gagwejimaandan"
bakizh,transitive animate verb,snip h/ (something string-like) off Paired with:an,"bakizhan, bakizh"
madwengwaam,animate intransitive verb,"s/he snores, makes noise in h/ sleep See also:i;o","madwengwaami, madwengwaamo, madwengwaami"
ikwanoozo,animate intransitive verb,s/he inhales; s/he snores,
wiiniskiigomaan,animate noun,snot,"ziiniskiigomaan, ziinikiigomaan"
oshkinzh,dependent inanimate noun,"h/ snout, muzzle",
zoogipon,inanimate intransitive verb,it snows,
goon,animate noun,snow,"gooniwi, gooniwan, bawaagone'an, bawaagone', bawaagonenan, bawaagonen, wagidaagonag, weba'aagonebide"
onaabanad,inanimate intransitive verb,there is a crust on the snow,
weba'aagonaan,inanimate noun,"something to remove snow with: a snow shovel, a snow blower",
bikwaakwadwaagonagin,transitive animate verb,make h/ (snow) into a snowball,
aadaagoneshin,animate intransitive verb,s/he is snowbound,
aagime,animate intransitive verb,s/he snowshoes,
aagim,animate noun,a snowshoe,bookwaagime
okik,inanimate noun,a snowshoe or sled crossbar,
waabooz,animate noun,"a rabbit, a snowshoe hare",aagimekana
aagimekana,inanimate noun,a snowshoe trail,
biindaakwaan,animate noun,snuff,
ezhi-,relative preverb,in a certain place; in a certain way; so; there; thus►izhi-,"inigini, inigokwaa, inigokwegizi, inigokwegad, inigokwaakwad, inigokwaakozi, inigokwaabiigizi, inigokwaabiigad, apiitinigwad, apiitinigozi, akwaa, akoozi, akwaabikizi, akwaabikad, akwegizi, akwegad, akwaabiigizi, akwaabiigad, akwaakwad, akwaakozi, akwaa, akoozi, inigokwadezi, inigokwadeyaa, inigokwadeyaabikizi, inigokwadeyaabikad, inigokwadeyiigizi, inigokwadeyiigad, inigokwadeyaakozi, inigokwadeyaakwad, inigokwadeyaabiigizi, inigokwadeyaabiigad"
daso-,relative preverb,every; a certain number; so many,"dashiwag, dasin, dasinoon, dashi, daso-mizid, daswewaanagiziwag, daswewaanagadoon, daso-biboonagad"
agwanjin,animate intransitive verb,"s/he or it (animate) is in or on the water, floats, soaks See also:agonjin","agonjin, agonjin, agwinde, agwanjin, agonde, zhaabwaabaawe, zhaabwaabaawe"
agwanjidoon,class 2 transitive inanimate verb,"put it in the water; soak, immerse it Paired with:agwanjim See also:agonjidoon;agwinjidoon","agwanjim, agonjidoon, agonjim, agwanjidoon, agwanjidoon, agonjim, agonjidoon, zhaabwaabaawazh, zhaabwaabaawadoon"
zhaabwaabaawadoon,class 2 transitive inanimate verb,"soak it through, get it soaked; saturate it Paired with:zhaabwaabaawazh","zhaabwaabaawazh, zhaabwaabaawadoon, zhaabwaabaawe, zhaabwaabaawe"
giziibiiga'igan,inanimate noun,(item of) laundrysoap,"giziibiiga'iganaabo, giziibiiga'iganaaboo"
babaamaashi,animate intransitive verb,"s/he is blown about (by the wind); sails, soars about Paired with:babaamaasin","babaamaasin, babaamaashi, aazhawaashi, aazhawaasin, bimaasin, bimaashi, agwaayaasin, agwaayaashi, webaasin, webaashi, maadaasin, maadaashi, animaasin, animaashi, ondaasin, ondaashi, biidaasin, biidaashi, bagamaasin, bagamaashi, inaasin, inaasin, gizhiiyaashi, gizhiiyaasin"
aatebii,animate intransitive verb,s/he sobers up,
ashangewikwe,animate noun,"a social worker, a welfare worker (female)",
azhigan,inanimate noun,"a sock, a stocking",
akiiwigamig,inanimate noun,a sod house,
ombizigan,inanimate noun,baking soda,
nookaa,inanimate intransitive verb,"it is soft, is tender Paired with:nookizi","nookizi, nookijiizi, nookijiiyaa, nookaa, nookijiiyaa, nookaabikizi, nookaabikad, nookiigizi, nookiigad, nookaabiigizi, nookaabiigad, noosookizi, noosookaa, nookijiiyaa, nookaabaawe, nookaabaawe"
menwaagamig,inanimate participle,a soft drink; pop,
nookaabaawadoon,class 2 transitive inanimate verb,soften it with water Paired with:nookaabaawazh,"nookaabaawazh, nookaabaawadoon, nookada', nookada'an, nookibizh, nookibidoon"
zhimaaganish,animate noun,a soldiera jack (card),
ninagaakizid,dependent inanimate noun,my sole,ninagaakizid
zoongan,inanimate intransitive verb,"it is strong, solid","zoongan, mashkawizi, zoongi'"
aanind,quantitative adverb,some,
awiya,indefinite pronoun,"somebody, someone, anybody, anyone See also:gaawiin ;gakina",gaawiin awiya
aya'aa,pausal pronoun,"I don't remember who; a being, a thing animate in gender Paired with:aya'ii;ayi'ii",aya'ii
gegoo,indefinite pronoun,"something, anything See also:gaawiin ;gakina",gaawiin gegoo
ingoding,temporal adverb,at one time; sometime See also:n,ningoding
aangodinong,temporal adverb,occasionally; sometimes,
eniwek,degree adverb,a little bit; just so; middling; somewhat,
ingoji,degree adverb,"somewhere, anywhere; approximately; nearly, almost See also:nadv loc","ningoji, ingoji"
ningozis,dependent animate noun,my son See also:ingozis;ningwizis;ingwizis,"ningozis, ningozis, ingozis, ningwizis, ingozis, ingozis, gigozis, ogozisan"
na'aangish,animate noun,a son-in-law,
nagamon,inanimate noun,a song,
wayiiba,temporal adverb,early; in a little while; soon,wayiiba
gaagiidizi,animate intransitive verb,s/he is sore,"gaagiidaawigane, gaagiidaawigane, gaagiijidooskwane, gaagiijidooskwan"
omigii,animate intransitive verb,"s/he has a sore or sores, has a scab or scabs",
osidaawendam,class 2 animate intransitive verb,"s/he is sad, dejected, sorrowful",
dino,similative pronoun,a certain kind or type of something ; sort,
ninjichaag,dependent animate noun,my soul (the spirit within),"ninjichaag, ninjichaag, ninjichaag, ninjichaag, ninjichaag, ninjichaag"
wiimbwewe,inanimate intransitive verb,it gives a hollow sound,"nisidotaw, nisidotan"
maanitaagozi,animate intransitive verb,"s/he sounds bad, doesn't sound right Paired with:maanitaagwad","maanitaagwad, maanitaagozi, maanitan, maanitaw, bagakitaagozi, bagakitaagwad, wawiyazhitaagwad, wawiyazhitaagozi, bakaanitaagozi, bakaanitaagwad, mayagitaagwad, mayagitaagozi, wawiyazhitaagwad, wawiyazhitaagozi, minotaagwad, minotaagozi, gwayakotaagozi, gwayakotaagwad, zegitaagwad, zegitaagozi, mayagitaagwad, mayagitaagozi, biigizawitaagozi, biigizawitaagwad"
naboob,inanimate noun,"soup, stew","naboobiikaazh, naboobiikaazo, naboobiikaadan, naboobiikaazh, naboobiikaadan"
naboobii-emikwaan,inanimate noun,a soup ladle,
naboobiiwan,inanimate intransitive verb,it is soupy,
zhiiwaa,inanimate intransitive verb,it is sour Paired with:zhiiwizi,"zhiiwizi, zhiiwizi, zhiiwaa, zhiiwipogwad, zhiiwipogozi"
zhiiwisijigan,animate noun,sourdough,
zhaawani-,lexical preverb,south,"zhaawani-noodin, zhaawani-noodin"
dawaa,inanimate intransitive verb,"there is a space, a gap, room",
biig,animate noun,a spade suite card,
bapasidiye',transitive animate verb,spank h/,
manaaji',transitive animate verb,"spare, respect, go easy on h/ Paired with:manaajitoon","manaajitoon, manaaji'"
aamiwag,animate intransitive verb,they spawn,
giigido,animate intransitive verb,s/he speaks; s/he phones,"ganoodan, ganoozh, idan, izhi, anishinaabemotaw, idan"
aanikanootaagewinini,animate noun,"a speaker (for others), a translator, an interpreter (male)",
zhimaagan,inanimate noun,"a spear, a lance",
bazhiba',transitive animate verb,"stab, prick h/; spear h/ (a fish) Paired with:an",bazhiba'an
ganawaabange,animate intransitive verb,"s/he watches people, is a spectator",
gaagiigidowin,inanimate noun,song lyrics; a speech; talking; a language,
apiichibide,inanimate intransitive verb,"it speeds, drives, flies, runs (as a machine) at a certain speed Paired with:apiichibizo","apiichibizo, apiichibide, apiichibizo, apiichibide, apiichigin, apiichigi"
bagamibide,inanimate intransitive verb,"it arrives speeding, driving, flying Paired with:bagamibizo","bagamibizo, bagamibide, bimwewebizo, bimwewebide, biidwewebizo, biidwewebide, babaamibizo, babaamibide, bimibizo, bimibide, jiigewebide, animibizo, animibide, animwewebizo, animwewebide, gizhiibizo, gizhiibide, onjibizo, onjibide, biijibizo, biijibide, biinjibizo, biinjibide, biindigebizo, biindigebide, maajiibizo, maajiibide, bakebizo, bakebide, zaagewebizo, zaagewebide, ipizo, apide, ipide, apizo, ombibizo, ombibide, noogibizo, noogibide"
apiichibizoowagwaakwa'igan,inanimate noun,a speed sign,
noomag,temporal adverb,for a long time; for a spell; for a while,
dagwaagishi,animate intransitive verb,s/he spends the fall somewhere,
jaagin,transitive animate verb,"use h/ up, deplete h/, spend all of h/ Paired with:an",jaaginan
mashkiigwakamig,inanimate noun,"peat moss, sphagnum moss See also:mashkiigokamig",mashkiigokamig
asabikeshiinh,animate noun,a spider,
zaga'igan,inanimate noun,"a nail, a spike",
negwaakwaan,inanimate noun,"a tap, a spile, a spigot (for getting sap from a tree) See also:mitigo-",mitigo-negwaakwaan
ziiginan,transitive inanimate verb,"pour, spill it out",ziigwebinan
ziigise,inanimate intransitive verb,"it pours out, spills out",ziigibiise
gizhibaabide,inanimate intransitive verb,"it speeds or drives around in a circle: spins, whirls, revolves Paired with:gizhibaabizo","gizhibaabizo, gizhibaabide, gizhibaabise, gizhibaabise, gizhibaawebinan, gizhibaawebin"
manidoo,animate noun,"a manitou, a spirit, god","aadisookaan, aadizookaan"
wiikondiwin,inanimate noun,a feast; a spirit dish: an offering of food at the start of a meal,
manidoowaadizi,animate intransitive verb,s/he has a spiritual nature Paired with:manidoowaadad,manidoowaadad
ziko,animate intransitive verb,s/he spits,"zikwaazh, zikwaadan"
zikowin,inanimate noun,"spit, saliva",
abwaanaak,inanimate noun,"a spit, a stick for roasting something over a fire",
zaswebiiga'andaw,transitive animate verb,splash h/,
daashkikaa,inanimate intransitive verb,"it rips, tears","daashkishin, daashkisin, daashkaabikishkaa, daashkaabikishkaa, daashkaabikise, daashkaabikise, daashkaakizo, daashkaakide, daashkigishkaa, daashkigishkaa"
daashkiga',transitive animate verb,split h/ (by chopping) Paired with:an,"daashkiga'an, daashkiga', daashkizhan, daashkizh, daashkaakiz, daashkaakizan, daashkibizh, daashkibidoon"
daashkaa,inanimate intransitive verb,"it is split, is broken apart lengthwise",
daashkiga'igewi-waagaakwad,inanimate noun,a splitting maul,
