lemma,ojibwe_sentence,english_sentence
minisaabik,Manginaagozi mikwam gaa-waasishing minisaabikong.,There is a big shining pile of ice on the reef.
minisaabik,Gego inoo'angen minisaabik. Da-bagamaanimad giishpin inoo'aman minisaabik.,Don't point to the reef. A strong wind will come up if you point at a reef.
dakisijigan,Doodooshaaboo imaa ningii-atoon dakisijiganing.,I put the milk in the refrigerator.
dakisijigan,Dakisijiganing izhi-atoon gaa-gii'-ishkwandaman ji-wanaajisinzinog.,Put your leftovers in the refrigerator so they don't spoil.
dakisijigan,Gomaa go inigokwaa nindakisijigan.,My fridge is just middle sized.
mikawi,Gii'-ani-mikawi. Ani-aabiziishin.,He came to. He's coming back to life.
apiitendan,Ogichi-apiitendaan gaa-ina'oonind gii-odaapiniged imaa gii-pagijigeng.,He was really happy with the gift he got from the give-away.
apiitendan,Aaniin giin epiitendaman owe biindigajigan.,What do you think about the resolution that's being entered.
minjinawezi,Minjinawezi 'aw abinoonjiiyens dekaanig.,That child is not satisified with the ice cream.
minjinawezi,Gii-minjinawezi gii-niiwenimind ini zhooshkwaada'enid aana-gii-ataagewaad.,He regretted that his team lost at the hockey game.
inawemaagan,Ayaangodino ko bi-dagoshin indinawemaagan.,Once in a while my relative comes.
inawemaagan,Ningii-wiidookaagoog indinawemaaganag gii-ayaanziwaan ge-miijiyaan.,My relatives used to help me when I had no food to eat.
bagidendan,Akawe nimbagidendaanan niwanii'iganan onzaam ishpaagonagaa. Baamaa naagaj ninga-andawaabandaanan.,Right now I'm going to let go of my traps because the snow is too high. Later on I'll go look for them.
mikawaam,Ningii-mikawaamaa ningozis ji-adaawed bakwezhiganan.,I reminded my son to buy bread.
mikawaam,Gidaa-mikawaamaa ezhi-anishinaabewinikaazod.,You should remind her of her spirit name.
adaawam,Indaana-gii-adaawamaa ojiimaan a'awe gechi-zazaagizid.,I tried to borrow that big miser's boat.
nanaa-itoon,Niibowa gii-izhise gii-nanaa'itood ojiimaan.,It cost him a lot to fix his boat.
nanaa-itoon,Niwii-nanaa'itoon indoodaabaanens.,I want to fix my little car.
nanaa-itoon,Nimisawendaan ji-bi-nanaa'itooyamban iwe indesa'on,I wish you would come and fix my platform.
naabinootaw,Naabinootawishin.,Repeat what I say!
naabinootaw,Ogii-nishki'aan iniw oosan gii-naabinootawaad.,He got his father mad for repeating what he said.
nakom,Aangwaamas ogii-nakomaan iniw gaa-pi-giikaawidaminid zhebaa.,He finally answered that person who came and quarreled over here this morning.
giigidoowinini,Gii-tabazi awe giigidoowinini gii-waabandang epiichi-zanagadinig iwe gaa-piindigajigaadenig.,The representative backed up when he saw how difficult that resolution was.
giigidoowinini,Mii go 'i gii-kiizhendamowaad igi giigidoowininiwag waa-izhichigewaad.,The representatives already decided what they were going to do.
ishkonigan,Ishkoniganing nindoonjii.,I come from a reserve/reservation.
ishkon,Naanan ogaawan ogii-ishkonaan.,He saved five walleyes.
ishkon,Aabitooshkimod ogii'-ishkonaan bakwezhiganan gaa-gii'-mazina'amawid.,The one who borrowed the flour from me only left half a bag.
ishkonigan,Ishkoniganing nindoonjii.,I come from a reserve/reservation.
anwebi,Niwii-anweb niibing.,I'm going to rest this summer.
anwebi,Aana-gii-anwebi.,He was resting (but...).
anwebi,Wawiinge gichi-nanaamadabiwag igiweg enwebiwaad.,The guys resting are sitting around taking it easy.
anwebi,Agwanaateng dazhi-anwebidaa.,Let's go rest in the shade.
wiisiniiwigamig,Booshke giin wiijiiwiyan oodenaang. Gidaa-wi-wiisinimin imaa wiisiniiwigamigong.,It's really up to you if you want to go with me to town. We can go eat at the restaurant.
aana,"Aana-onji'agwaa igiw abinoojiinyag, onjida miigaadiwaad.","Although I told the kids not to, they keep on fighting."
aana,Bemijigamaag indaana-gii-izhaa andawanokiiyaan.,I went to Bemidji to look for a job (but...).
aana,Nibwaanawinaa 'aw ditibidaabaanens aana-wii-ombinag.,I can't lift that cart.
aana,Ogigishkaan nibabiinzikawaagan aana-wii-piizikamaan.,I want to wear my jacket but he's got it on.
aana,Aana-wii-koji'aa ji-anokaadang.,They're going to try her to work on it.
aana,Nindaana-gii-kagwejimaa ji-manisawid. Gaawiin idash mashi.,"I've asked him to cut me some wood, but he hasn't yet."
giiwe,Ani-giiwen.,Go back!
giiwe,Biinizikaa gaa-ni-izhi-giiwed nindaanis.,All of a sudden my daughter went home.
giiwe,Ingii-inaa ji-giiwed.,I told him to go home.
giiwe,"Ozhinawisidamawaan. ""Ambe gaazhagens bi-giiwen.""","He's ringing a bell for it. ""Come on cat, come home."""
aabaakawi,Ogii-aabaakawi'aan iniw gaa-kiiwashkwesijigenid.,He revived the one that was knocked out.
okanaapine,Ganabaj wiiba da-bwaanawi'o nimishoomis. Mashkikiiwininiwan odigoon okanaapined.,I think my grandfather won't be able (to walk) soon. The doctor told him he has arthritis.
manoominike,Mii 'i gii-oshki-manoominikeyaang dagwaagong.,We went ricing for the first time last fall.
manoominike,Ogii-pawaanaan manoominikenid oosan.,He dreamed about his father ricing.
gwayak,Izhi-gwayak inikwenin.,Hold your head straight ahead.
gwayak,Mii 'iw gwayak ekwaademagak.,That's the right way it is sewn.
gwayak,Gwayak ina inaadizi ji-debwetawindiban.,Is she honest enough to be trusted?
didibininjiibizon,Nindaanis obiizikaan didibininjiibizon. Wii-wiidige.,My daughter is wearing a ring. She's going to get married.
didibininjiibizon,Eyiidawininj ogigishkaanan didibininjiibizonan.,She's wearing rings on both hands.
madwesidoon,Madwesidoon zhinawa'oojigan.,Ring the bell.
madwesidoon,Mii 'iw zhaangaso-diba'iganeg ji-madwesidood 'iw godotaagan.,At nine o'clock he's going to ring the bell.
madwesidoon,"Giishpin madwesidood nimbiiwaabikoonsim, ninga-gagwejimaa ji-anokiitawag.","If s/he rings my phone, I'm going to ask h/ if I can work for h/."
madwesin,Gabe-zhebaa madwesin giigidoo-biiwaabikoons.,The phone rang all morning long (this morning).
madwesin,Mii imaa wenji-wanitood i'iw obiimaskwa'iganim. Ingii-noondaan madwesing iwidi niisaya'ii.,He missed his wrench but I heard it drop down below.
biigobidoon,Ogii-piigobidoon 'i agwaakwa'igan.,He tore up the poster.
adite,Aditewan aniibiishan.,The leaves are turning colors.
adite,Ani-ishpi-niibing da-aditewan miinan.,The berries will be ripe towards the last part of the summer.
adite,Ogii-kagiiginaanan iniwen editegin miinan.,He picked out the ripe blueberries.
daashkiboojigan,Noogiwebin awe daashkiboojigan. Ganabaj giziibwewe... ani-giziibwewebizo.,Stop the sawmill. I think it's squeak... starting to squeak.
daashkiboojigan,Gii-noonashkine awe gichi-mitig imaa daashkiboojiganing aana-wii-daashkiboonind.,That big tree was too big to fit on the sawmill to get ripped.
mooka-am,Jibwaa-bi-mooka'ang mashkawaasige 'aw waabano-anang.,"Before the sun comes up, the morning star shines bright and powerful."
ziibi,Anooj izhitigweyaa i'iw ziibi.,The river flows every which way.
miskwaanzigan,Omegwaa-dazhiikaan miskwaanzigan ozhitood.,He's working at making the roach right now.
miskwaanzigan,Gii-meshkwadoonamaadiwag omiskwaanziganiwaa.,They traded roaches.
miikana,Aaniish enamog 'iw miikana.,How is that road?
miikana,Maanamonoon iniw miikanan.,The roads are bad.
miikana,Aabiding iidog gii-pabimose 'aw mindimooyenh imaa miikanaang.,Once upon a time there was an old lady walking along on the road.
miikana,Miikanaang izhi-wanii'amaw amik.,Set your trap for a beaver on its trail.
makam,Ogii-makamaan iniw oniijaanisan waagaakwad odaminwaagenid.,He took away the axe his child was playing with.
makam,Omakamaan omashkikiinsimini ojiimensan jibwaa-bakwenishkaagonid.,She took away her little sister's candy before she choked on it.
apichi,Apichi nindapinikaazonan ezhi-anishinaabewinikaazoyaan.,The robin is the spirit bird that gave (my grandmother) my name.
asin,Bakewebin igiweg asiniig.,Throw those rocks out of the path.
asin,Biinjidoon ogii-asaan iniwen asiniinsan.,She put a stone in her mouth. [of a child]
asin,Agwaashim asiniig gaa-wii'-aabaji'adwaa wii'-madoodooyan.,"Set the rocks ashore, the ones you are going to use for the sweat."
bakwezhigaans,Nimiinaa a'a abinoojiinh bakwezhigaansan.,I'm giving the child a cookie.
bakwezhigaans,Ogii-chekibiinaan obakwezhigaansiman ji-nookaabaawenid.,She dunked her cookie to soften it.
abiwin,Gii-mooshkinebide imaa abiwining 'iw waasigan.,The flash of the lightning filled the living room.
mangate,Mangate iwe abiiwigamig.,That living room is big.
naabese,Gichi-mayagitaagozi awe naabese debwewidang ganabaj. Giiwaaj isa go naa ezhi-gichi-maanowed.,That rooster you can hear sounds kind of strange. He really sounds terrible.
biiminakwaan,Aaniish enaabiigak i'iw biiminakwaan.,What's that rope like?
biiminakwaan,Gagwe-minjimishkan iwe biiminakwaan ezhi-zagapideg iwidi mizhasiniing.,Try to put your weight on that rope that's attached to the anchor.
biiminakwaan,Okaadenigaade na biiminakwaan.,Is that rope braided?
ogin,Amo daga igi oginiig.,Please eat the tomatoes.
bigishkanad,Onzaam gabaya'ii gii-animikosin iwe jiimaan gaa-onji-bigishkanak.,The boat sat there upside down too long -- that's why it rotted.
waawiyeyaa,Waawiyeyaa imaa endanakamigak.,"The place of activity is round. (e.g., a powwow ring)"
waawiyeyaa,Ogii'-miikwa'aan gaa-waawiyeyaanig gaa-goda'aakwed.,She hit the bull's eye when target shooting.
azhebowe,Gii-memeshkwajiiwag igi gaa-azhebowewaad gii-aazhawa'oodoowaad iwe jiimaan imaa zaaga'iganing.,They took turns rowing the boat across the lake.
azhebowe,Azhebowen iwidi gwayak.,Row straight there.
mamigobidoon,Nimamigobidoonan miinan gaa-mashkawaakwadingin bangii wii-siiginamaan nindoonaaganing.,I rub the frozen blueberries (in the bag) to pour a few onto my plate.
bine,Bine ninoondawaa madwewe'od.,I hear a partridge drumming.
bine,Anaamaagonag gii-apa'iwewag binewag.,Partridges ran and hid under the snow.
bine,"Wiigwaasanakoonsan gokeyawikaagen waabooz ji-nagwaanad, maazhaa gaye bine.",Use birch buds if you want to snare a rabbit or a partridge.
bine,Ningii'-niiyonawaag binewag gii-wiisiniwaad mitigong.,I shot four partridges with one shot while they were eating in a tree.
anaakan,Biindigeyaan ningiziizide'odiz imaa anaakaning.,"When I come in, I wipe my feet on the rug."
madwebide,Niwazitaawi'igomin i'iwe odaabaan medwebideg aana-anokiiyaang.,That car that is idling is bothering us as we try to work.
onjigaa,Bagwaabikishkaa gwaaba'iganish wenji-onjigaag.,The old dipper has got a hole in it; that's why it leaks.
mawinazh,Ogii-mawinanaawaan gii-nakweshkawaawaad iniw baadaasamosenid.,They rushed to meet the one who was coming towards them.
noondese,Ningii-noondese giziindime'on. Ningii-o-adaawe gii-izhaayaan oodenaang.,I ran out of toilet paper. I went and bought some when I went to town.
baashkikaa,Gii-paashkikaamagadini imaa gii-miniiwizided.,The blister on his foot ruptured.
ojaanimi,Awi-ojaanimi' awe gwiiwizhenzhish. Mii awe gaa-paasinang 'iw waasechigan.,Go chew out that little brat. He's the one who shot up that window.
mashkimod,Ningii-kashkapinaa a'aw nindasemaa imaa nimashkimodaang.,I tied up my tobacco in my bag.
mashkimod,Ogii-aaboojisidoon 'iw mashkimod gii-paasang.,He put that bag inside out to dry it.
mashkimod,Naawoonag atoon gimashkimod.,Put your bag right in the middle of the canoe.
mashkimod,Ogii-taadozhaan 'i mashkimod gaa-aapida'oodenig wii-paakinang.,He cut open the sack that was tied into in knots in order to open it.
mashkimod,Indaga biina'waadaanig ogoweg opiniig imaa gimashkimodaang.,"Come on, let's put these potatoes in your sack."
gashkendam,Onzaam apane gashkendam gaa-onji-mizhizid.,He got lonesome all the the time; that's why he got sick.
zhooniyaa-makak,Weweni ganawendaagwad iwe zhooniyaa-makakoons etemagak.,They're keeping an eye on that cash box sitting there.
zagaakwa-igan,Ogii-piimaskonaan 'iw zagaakwa'igan gii-mashkawaakwa'ang.,He turned the bolt to tighten it.
zhiiwitaagan,Nindagonaan zhiiwitaagan wiisiniyaan.,I add salt when I eat.
zhiiwitaagana,Zhiiwitaagana' baaka'aakwenh.,Salt the chicken.
zhiiwitaagani-gookoosh,Wenda-zaatemaagozi 'a zhiiwitaagani-gookooosh.,That salt pork smells stale.
zhiiwitaagani-gookoosh,Ogii-gipagikonaan iniwen zhiiwitaagani-gookooshan dezhiikawaad.,He sliced the salt pork he was working on into slabs.
zhiiwitaagani-gookoosh,Ogii-minozaan iwe gichikonayeziganaaboo zhiiwitaagani-gookooshan imaa gii-apaabowed.,She cooked a real good hominy soup seasoning it with salt pork.
bingwi,Nimanezin niizhooshkin 'i bingwi.,I need two bags of sand.
mitaawangaa,Gii-zhiibaayaakwaag niwii-o-dazhi-giizhiganishin imaa mitaawangaag.,I'm going to go spend my day at the cut-off on the sandy shore.
biskitenaagan,Gii-kwanabise iwe biskitenaagan imaa adoopowinaakong gaa-ateg.,The birch bark tray that was sitting on the table tipped over.
debi,Gidebi' gii-pi-waabamiyan.,You're so kind to have come to see me.
ishkon,Naanan ogaawan ogii-ishkonaan.,He saved five walleyes.
ishkon,Aabitooshkimod ogii'-ishkonaan bakwezhiganan gaa-gii'-mazina'amawid.,The one who borrowed the flour from me only left half a bag.
daashkiboojigan,Noogiwebin awe daashkiboojigan. Ganabaj giziibwewe... ani-giziibwewebizo.,Stop the sawmill. I think it's squeak... starting to squeak.
daashkiboojigan,Gii-noonashkine awe gichi-mitig imaa daashkiboojiganing aana-wii-daashkiboonind.,That big tree was too big to fit on the sawmill to get ripped.
daashkiboojigan,Noogiwebin awe daashkiboojigan. Ganabaj giziibwewe... ani-giziibwewebizo.,Stop the sawmill. I think it's squeak... starting to squeak.
daashkiboojigan,Gii-noonashkine awe gichi-mitig imaa daashkiboojiganing aana-wii-daashkiboonind.,That big tree was too big to fit on the sawmill to get ripped.
gikinootaw,Gichi-wawiingezi gikinootawaad ini migiziin awe ogichidaa.,That warrior did a great job of imitating the sound of the bald eagle.
bashkobiis,Odazhiikawaan iniwen baaka'aakwenyan gaa-kiishkigweda'omind. Obashkobinaan miinawaa obashkobiiswaan.,She's dressing a chicken whose head was chopped off. She's plucking and scalding it.
zegi,Ogii-gichi-zegi'aan gii-apagidamowaad iniw gaa-zhiigaabiigizinid gookooko'oon.,He scared the hell out of that guy when he threw that owl carcass at him.
zegi,Nigichi-zegi'igonaan awe gaa-ojibinigod zhebaa.,The one who had convulsions this morning really scared us.
moozhwaagan,Gidayaan ina moozhwaagan.,Have you got a pair of scissors?
moozhwaagan,Azhiwaa na gimoozhwaagan.,Are your scissors dull?
moozhwaagan,Moozhwaagan gigiishkizhigaagen.,You use scissors to cut something.
moozhwaagan,Moozhwaagan aabajitoon wii'-onizhaman wiigwaas.,Use scissors to cut out birch bark.
moozhwaagan,Gaawiin gaashaasinoon nimoozhwaagan.,My scissors are dull.
gwaaba-waagan,Gwaaba'waagan nindaabaji'aa gii-debinagwaa giigoonyag gii-aamiwaad.,I use a scoop net to get the fish when they are spawning.
gabenaage,Gii-kabenaage ge-zhooniyaansiwataaged.,He won everything at the penny-ante game.
mimigosaga-ige,Niin iko ningii-mimigosaga'ige gii-wiinisagaamagak 'i endaayaang.,I used to be the one to scrub the floor when our floor was dirty.
onadin,Weweni ogii-onadinaan iniw bakwezhiganan jibwaa-biindaabikinaad.,He kneaded and shaped the biscuits before he put them in the oven.
onadin,Bijiinag gigizheb ninga-onadinaa awe bakwezhigan.,I'll knead the bread in the morning.
onadin,Mii go aanawi gii-ombishkaad awe bakwezhigan gaa-onadinag.,The dough that I kneaded rose [contrary to expectation].
gayaashk,Obiintoon aki gayaashk.,The gull cleans the earth.
wawenabi,Wawenabi waa-tanagindang dibaajimoo-mazina'igan.,She's sitting herself down to read the newspaper.
gegiin,Gegiin ina.,You too?
ozhibii-igewikwe,Zhebaa ningii-awi-waabamaa ozhibii'igewikwe. Niwii'-wiiji'ig gaa-gii-kagwedweyaan.,This morning I went to see the office worker. She is going to help me with my request.
giimooj,Giimooj gii-ni-giimii a'aw nindaanis.,My daughter snuck off.
giimooj,Giimooj igo niwii-wiindamawaa 'a mindimooyenh.,I'm going to tell the old lady secretly.
giimooj,Giimooj ogaganoonaan.,He whispered to her.
giimooj,Giimooj oodenaang niwii-izhaa.,I'm going to sneak off to town.
waabam,Gichi-gabeya'ii mawi a'aw abinoojiinh. Indaga o-waabam.,That child's been crying a long time. You better go see.
waabam,Niizho-biboonagad gii-waabamag ishkwaaj nishiime.,It was two years ago that I last saw my younger brother.
waabam,Mii iwidi gii-waabamag waawaashkeshi jiigaakwaa.,"That's there I saw the deer, near the woods."
waabam,Niminwendaan waabaminaan.,I'm glad to see you.
waabam,Daga izhiwizhishin aakoziiwigamigong. Niwii-wi-waabamaa mashkikiiwinini. Nindaakoz.,Please take me to the hospital. I'm going to go see the doctor. I'm sick.
aaniish,Aaniish enendaman gaa-gii-kagwejiminaan.,So what do you think of what I asked you?
aaniish,Aaniish inaa akawe ninga-gaagiizomaag aadizookaanag.,"Well, first I honor the spirits."
andone-an,"Giishpin andone'ang anokiiwin, oga-mikaan.","If s/he looks for work, s/he'll find it."
andone-an,Babaa-aazhawaakwii-gwaashkwani waabizheshi andone'ang waa'-miijid.,A marten jumps form one tree to another looking for food.
nawadin,Indaga nawadin awe abinoojiinh; onzaam jiigaya'ii imaa ayaa bagizowining.,Grab that child. He's too close to the swimming pool.
nawadin,Ogii-mamaanzhi'aan a'aw mindimooyenh iniw onaabeman aana-gii-nawadinigod.,That old lady bested that old man who tried to grapple her.
waawiikaa,Waawiikaa ko indizhaa oodenaang.,I go to town every once in a while.
waawiikaa,Waawiikaa zoogipon.,Once in a while it snows.
waawiikaa,Gichi-waawiikaa ko wiisagishkodaadiwag ogo wedaminowaad gichi-bikwaakwad.,The football players very seldom hurt each each other.
waawiikaa,Waawiikaa na ginaanaagadawenimaa gimishoomisiban.,Do you ever think about your late grandfather?
onaabam,Niin ingii-onaabamigoo ji-biindigadooyaan o'o aandaakonigewin.,I was chosen to introduce the resolution.
zhaagwenimo,Zhaagwenimo ji-gagwedwed ji-anokii'ind.,S/he is reluctant to ask for a job.
biminizhikaw,Ingii-piminizhikawaa inday gaa-niimandang niwiiwakwaan.,I chased my dog who had my hat in his mouth.
giiwashkweganaam,Otigwaanining ogii'-inaganaamaan gii-bishigwaganaandang bikwaakwad. Ganabaj ogii-kiiwashkweganaamaan.,He hit him in the head when he missed the ball. I think he knocked him unconscious.
webin,Gichi-agwaagoshi awe giboziganish. Indaga owi-webin.,That old bread is moldy. Go throw it away.
asham,Bebangii nindashamaag igiw abinoojiinyag ozhaashi-manoomin. Gaawiin ganabaj ominwendanziinaawaa.,I only fed each of the the kids a little bit of oatmeal. I don't think they like it.
asham,Indaga naa asham a'awe. Mii gosha go naa wenda-waabiiganaandang.,You'd better feed him. This person is turning kind of pale on us.
asham,Miigwech bangii ashamiyan.,Thanks for giving me a little bit of food. [joking insult]
asham,Gigii-ashamigoo na zhigwa. | Mii eta go 'i gaa-ashamigooyaan gaa-mimigoseg.,[in the hospital] Did they feed you yet? | They've only fed me jello!
asham,Wegonen waa'-ashamigooyang.,What are they serving us?
asham,Awenen waa'-ozaawaakizwaad giboziganan. Midaaswi awiyag gidaa-ashamaanaanig.,Who's going to make the toast.? We've got ten people to feed out there.
asham,Odiba'oonaan minik eshamaad ji-onzaamashkinesinid.,She gave her just enough to eat so she won't get sick from it.
gozigwaakomin,Binaabigwaniiyaashiwag gozigwaakominag.,The juneberries' flowers are blown down.
bagida-waa,Anaamikwam iko ningii-pagida'waamin.,We used to set nets under the ice.
bagida-waa,Ogii-pimijishimaan odasabiin awe gaa-'o-bagida'waad.,The one who went to set nets set them sideways.
bagida-waa,Onaazibiiwinaan odasabiin waa'-ando-bagida'waad.,She's taking her net down to the lake to set it.
izhisidoon,Weweni o'.. odizhisidoonaawaa iwe ishkodewidaabaani-biiwaabiko-miikana.,They laid the railroad track carefully.
izhisidoon,Anooj igo ogii-izhisidoon i'iw gaagiigidowin.,He put the words in any old way. [His speech didn't make any sense.]
izhisidoon,Bakaan gewiin odizhisidoon iwe nagamon ena'amaang.,He sings that song different than the way we sing it.
inagim,Niizhwaabik ashi-aabita odinagimaan iniwen midaaso-dibaabiishkoojigan iniw opiniin.,He's charging $2.50 for ten pounds of potatoes.
inagim,Awenen gaa'-inagimind ji-ogimaakaaniwid.,Who was elected chief?
gashkigwaaso,Minogwaasowag igi ikwewag gashkigwaasowaad.,Those women sew real nice when they sew.
gashkigwaaso,Geyaabi 'o apii bagakaabi mindimoowenh gaa-gashkigwaasod.,The elderly lady who sews can still see clearly.
maada-ookii,Mii 'iw gii-maada'ookiid iniw bagijiganan.,He distributed the offerings.
maada-ookii,Awi-maada'ookiin ini gigishkiganan gaa-piijigaadegin.,Go distribute those clothes they brought over.
gaashaa,Mino-gaashaa ningiishkiboojigan.,My saw is nice and sharp.
gaashaa,Gaawiin gaashaasinoon nimoozhwaagan.,My scissors are dull.
gaashiboodoon,Ogaashiboodoon owewebanaabaan wii'-ando-bagidaabiid.,He's sharpening his hooks to go set a line.
wiin,Bakaan gaye wiin odina'aan iwe nagamon gaa-noondang.,He sings that song different from the way he heard it.
biindikomaan,Biindikomaaning zhegonan gimookomaan jibwaa-beshininjiishinan.,Put your knife in the case before you cut your hand on it.
ataasoowigamig,Giga-aabaaka'amoon iwe ataasoowigamig giishpin wendamiziwanen.,I'll unlock the storage shed for you if you're too busy.
ataasoowigamig,Ogii-tawisidoon ataasoowigamig wii-ataasod.,He made room in the shed to store stuff.
ataasoowigamig,Gii-piigwa'igaadeni odataasoowigamig.,Someone knocked his  shed down.
ataasoowigamig,Gii-shiigonige imaa ataasoowigamigong.,He emptied everything out of the storage shed.
biniwine,"Gii-ani-giiwe-biboong biniwinewag waawaashkeshiwag, gaye moozoog.",The deer and the moose lose their antlers past midwinter.
maanashigan,Ingii-noondawaa maanashigan mamadweshing anaami-jiimaan.,I heard a sheepshead thumping under the boat.
desaabaan,Onjibizo a'aw diba'igiiziswaan imaa desaabaaning.,The clock fell off the shelf.
anwi,Ogii-kijibidoon 'i anwi gaa-baataashkinenig.,He pulled out the shell that was jammed in the chamber.
anwi,Ingii-nanawiz aana-... aana-gii-kiiwaseyaan. Ingii-waniikenan indanwiiman.,I didn't have very good luck when I went hunting. I forgot my shells.
anwi,Weweni go minwashkine 'iw... i'iw anwi imaa baashkiziganing.,The cartridge fits well into the rifle.
gichi-jiimaan,Ingii-waambandaan iwidi gichi-jiimaan gechi-mangadeyaag.,I saw a really wide big boat over there.
babagiwayaan,Nimazinigwaadaan i'iw babagiwayaan.,I'm embroidering that shirt.
babagiwayaan,Gidaa-bagwa'aan ina ow nibabagiwayaan.,Can you mend my shirt?
babagiwayaan,Giwii-piizikaan ina iwe babagiwayaan gemaa... gemaa go iwedi.,Do you want to wear that shirt or... or that other one.
makizin,Makadewaawan nimakizinan.,My shoes are black.
makizin,Anaami-adoopowinaakong ateniwan omakizinan.,"His shoes are under the table,"
makizin,Gii-bapagoshkaa i'iw makizin gaa-bapagwa'ang.,There were many holes in the tire he patched up
makizin,Gii-madwewe i'iw makizhinish.,The old tire had a blow-out.
makizin,Aaniin iniwe makizinan gaa'-onaabandaman.,Which moccasins did you choose?
makizineyaab,Obabizowebishkaan omakizineyaab abinoonjiiyens: onzaam ginwaabiigadini.,The child keeps stumbling on his shoelaces because they are too long.
makizineyaab,Aaba'amaw omakizineyaabiin gaa-bwaanawichiged,Untie the disabled one's shoes for her.
makizineyaab,Aaniin ekwaabiigakin gimakizineyaabiin.,How long are your shoelaces?
baashkiz,Kevin ogii-paashkizwaan misisen.,Kevin shot a turkey.
baashkiz,"Nina'aangish gii-paashkizwaad ini waawaashkeshiwan, agaawaa ogii-kashkinanaan.","When my son-in-law shot the deer, he barely got him."
baashkiz,"Gii-baashkizwad amik, wewiib booziwebin. Day-aabiziigwinjin,","When you shoot a beaver, throw it in the boat right away. The water will revive it."
baashkiz,Anaamibiig ningii-paashkizwaa amik.,I shot a beaver under the water.
maa-ishkam,Apane indizhaa oodenaang maa'ishkamaan.,I go to town all the time to shop.
maa-ishkam,Gii-maa'ishkam gii-o-wiisiniwadaawed 'a nimishoome.,My uncle went out shopping for groceries.
maa-ishkam,Ningii-kanawenimaa a'aw biibiiyens omaamaayan gii-maa'ishkaminid.,I looked after the baby when his mother went shopping.
maa-ishkam,Marie niwiijiindimin gii-maa'ishkamaang.,"Marie and I go shopping together,"
adaawewigamig,Aandi gaa-ondinaman giwewebanaabaan. | Adaawewigamigong ingii-ondinaan.,Where did you get your fishing pole? | I got it at the store.
adaawewigamig,Basadinaang gii-tagogin 'iw adaawewigamig.,The store is in the valley among other buildings.
adaawewigamig,Ambe daga wiijiiwishin. Naadidaa i'iw doodooshaaboo imaa adaawewigamigong.,Come on with me. Let's go after some milk at the store.
agamiing,Agamiing iwidi bi-ondose.,He's walking here from the lake.
agamiing,Mii go iwidi agamiing wenda'ibiid 'a mindimooyenh.,That old lady draws her water from the lake.
agamiing,Agamiing madwe-gabaawag nindinawemaaganag.,My relatives are heard getting off their canoe down the lake.
dakoozi,Gaawiin nindebinanziin; onzaam indakooz.,I can't reach it because I'm too short.
zhiishiibanwi,Onzaam babiiwaawan ini zhiishiibanwiinsan.,That shot is too small.
zhiishiibanwii-baashkizigan,Naanan ogii-piniweba'waa' binewa' gii-baashkizwaad. Zhiishiibanwii-baashkizigan ogii'-aabajitoon.,He got five partridges down when he shot. He used a shotgun.
anwi,Ogii-kijibidoon 'i anwi gaa-baataashkinenig.,He pulled out the shell that was jammed in the chamber.
anwi,Ingii-nanawiz aana-... aana-gii-kiiwaseyaan. Ingii-waniikenan indanwiiman.,I didn't have very good luck when I went hunting. I forgot my shells.
anwi,Weweni go minwashkine 'iw... i'iw anwi imaa baashkiziganing.,The cartridge fits well into the rifle.
daa,Wiinaabikadoon gidoonaaganan. Gidaa-giziibiiginaanan.,Your dishes are dirty. You should wash them.
daa,Migoos gidaa-aabajitoon ji-bagone'aman.,You can use  an awl to make a hole in something.
daa,Onzaam gichi-michaabiigad 'i biiminakwaan. Gaawiin gidaa-aabajitoosiimin.,That rope is too big. We can't use it.
daa,Gidaa-gagwe-minjimapidoonan ini mashkosiwan jibwaa-maajiidooying.,"Before we take that hay out of here, you'd better tie it down good."
daa,Maagizhaa awiya gidaa-wiidookawaa.,Maybe you can help somebody.
daa,Gidaa-bi-giziisaginamaw ina?,Would you come and wash my floor for me?
biibaagi,Nookomis madwe-biibaagi agaaming.,You can hear my grandmother calling across the lake.
biibaagi,"Omagakii apii gii-biibaagid, mii 'i zhigwa wii'-aamiwad namewag.","When the frog calls, that's when the sturgeons spawn."
biibaagi,Naada'wik agaaming gaa-madwe-biibaagid.,Go get the guy across the lake that's yelling  (to be picked up).
waabanda,Ingii-pi-waabanda'igoo iwe zhizhoobii'igan. Maanaadad. Gaawiin ingii-minwendanziin.,They came and showed me that painting. It's no good. I didn't like it.
gibaakwa,NIngo-giizhik gii-o-gibaakwa'waa.,He was in jail for a day.
mooshka-osi,Oshpiming inaabi mooshka'osi goshko'ind.,A bittern looks up in the sky if startled.
niinim,"Ningii-wiidookawaa niinim gii-tazhiikang iwe, i'iw manoomin. Ingii-kidasige.",I helped my brother-in-law when he processed wild rice. I parched the rice.
aakozi,Daga izhiwizhishin aakoziiwigamigong. Niwii-wi-waabamaa mashkikiiwinini. Nindaakoz.,Please take me to the hospital. I'm going to go see the doctor. I'm sick.
aakozi,Gii-kwiinawi-inendam gii-pi-wiindamawind gichi-aakozinid ookomisan.,He didn't know what to think when they came and told him his grandmother was very ill.
aakozi,Aakoziyaan naa gaa-izhi-wiisagaapineyaan.,I was sick and it just hurt.
